era5_sst_c,era5_msl_hpa,era5_wind10_ms,lat,lon,month_sin,month_cos,era5_u10,era5_v10,basin_NI,basin_SI,basin_SP,basin_WP,basin_nan,target
29.221832,1011.0553,0.9625478,14.1,-80.5,-0.8660254037844384,-0.5000000000000004,-0.3424469,0.89643556,False,False,False,False,True,30.0
28.104548,1009.271,5.0395164,10.0,-102.2,-0.5000000000000004,0.8660254037844384,-4.1203156,2.80524,False,False,False,False,False,25.0
28.852722,1008.4734,6.2795463,-10.185,135.17,0.49999999999999994,-0.8660254037844387,-5.8024664,-2.3869207,False,False,True,False,False,25.0
28.3041,992.5354,5.7650394,-17.1291,162.808,0.8660254037844386,0.5000000000000001,-2.5707297,-4.896964,False,False,True,False,False,57.0
26.851618,986.9093,7.2577744,15.475,114.35,-0.5000000000000004,0.8660254037844384,-2.439182,-5.2660522,False,False,False,True,False,80.0
26.721308,997.42896,19.930874,24.3221,143.88,-0.5000000000000004,0.8660254037844384,-12.308937,14.666573,False,False,False,True,False,110.0
28.901335,1007.4593,12.37113,-8.1,129.1,0.49999999999999994,-0.8660254037844387,-7.8961096,-9.403864,False,True,False,False,False,35.0
25.981216,1005.51,3.090157,18.1,-141.7,-0.8660254037844384,-0.5000000000000004,-1.7041559,-0.43135375,False,False,False,False,False,50.0
28.866169,998.6056,10.047627,-12.25,53.05,0.8660254037844386,0.5000000000000001,-5.214508,8.107684,False,True,False,False,False,60.0
28.546686,1005.93427,7.5389977,15.5,-112.1,-0.8660254037844384,-0.5000000000000004,-0.754718,-7.496869,False,False,False,False,False,50.0
30.03085,1007.2681,4.4726205,13.2074,124.758,1.2246467991473532e-16,-1.0,-2.3195736,3.7027843,False,False,False,True,False,20.0
28.30534,1006.20166,8.58654,15.7574,-111.073,-1.0,-1.8369701987210297e-16,-6.884768,4.596695,False,False,False,False,False,32.0
27.99569,1004.62964,12.242941,-16.2,-168.9,0.49999999999999994,0.8660254037844387,-3.6002417,-11.674292,False,False,True,False,False,25.0
27.415398,1003.3531,5.8631306,-21.95,65.7,0.8660254037844386,0.5000000000000001,-3.0898058,-4.9049015,False,True,False,False,False,25.0
28.150005,1008.39514,4.254695,14.8,-123.0,-0.8660254037844384,-0.5000000000000004,-3.2428405,2.7284546,False,False,False,False,False,35.0
29.647028,996.0076,11.358884,20.2325,123.94,-1.0,-1.8369701987210297e-16,6.535255,8.962687,False,False,False,True,False,57.0
29.131092,993.6006,5.870865,13.1924,-79.3501,-0.5000000000000004,0.8660254037844384,1.4867074,-3.5849798,False,False,False,False,True,82.0
29.080807,1011.5258,3.909352,19.3,-110.4,-0.8660254037844384,-0.5000000000000004,-3.4977343,-1.5189129,False,False,False,False,False,35.0
28.31594,1008.35657,9.584925,19.68,129.882,-0.8660254037844386,0.5000000000000001,-5.0155816,8.149612,False,False,False,True,False,42.0
29.970299,979.24097,10.189923,20.95,68.35,1.2246467991473532e-16,-1.0,-5.0705395,0.18877502,True,False,False,False,False,90.0
30.210484,1000.59814,14.132317,-10.5555,160.515,0.8660254037844387,-0.4999999999999998,13.133597,4.8359747,False,False,True,False,False,37.0
29.764898,1007.95386,4.0707335,-9.6,53.0,0.8660254037844387,-0.4999999999999998,-3.9875946,0.81719667,False,True,False,False,False,20.0
28.03224,1003.2987,1.7505962,-14.605,61.3713,-2.4492935982947064e-16,1.0,-1.1092182,-1.2055477,False,True,False,False,False,27.0
28.602018,1009.7238,2.6853278,20.2,72.3,-0.5000000000000004,0.8660254037844384,-2.4551563,0.5841797,True,False,False,False,False,25.0
28.519363,1004.7225,2.7322485,-14.3877,159.314,0.49999999999999994,-0.8660254037844387,0.52084064,1.6984048,False,False,True,False,False,17.0
28.622128,1002.86383,5.0719523,-17.5999,167.44,0.8660254037844386,0.5000000000000001,3.8400552,3.160792,False,False,True,False,False,20.0
28.490229,1005.80005,1.6115543,-6.5775,84.5075,-2.4492935982947064e-16,1.0,-0.88187873,-0.8779825,False,True,False,False,False,22.0
27.565716,1004.6468,7.975735,5.88998,109.529,0.49999999999999994,0.8660254037844387,-7.7538815,1.5762849,False,False,False,True,False,35.0
28.65567,977.1887,7.210008,-18.25,117.0,1.0,6.123233995736766e-17,4.199356,-5.860855,False,True,False,False,False,95.0
28.85529,996.16144,6.2057776,10.6,82.2,-0.5000000000000004,0.8660254037844384,0.1991101,3.193874,True,False,False,False,False,60.0
27.131832,997.8752,5.1440496,-18.15,152.55,0.49999999999999994,0.8660254037844387,3.5946186,-2.9472413,False,False,True,False,False,40.0
27.362743,1013.6201,11.097485,26.7667,155.173,-0.5000000000000004,0.8660254037844384,-6.233835,-9.161883,False,False,False,True,False,55.0
28.064362,1005.6838,8.888291,8.0,143.0,1.0,6.123233995736766e-17,-8.833389,-0.98638916,False,False,False,True,False,25.0
28.284185,1003.9775,8.512721,15.8,-127.5,-1.0,-1.8369701987210297e-16,4.772055,6.8982606,False,False,False,False,False,55.0
28.80181,1004.28174,7.8868213,-18.1909,51.1274,0.49999999999999994,0.8660254037844387,6.881997,3.2855048,False,True,False,False,False,30.0
29.407867,980.085,4.3432903,27.875,126.5,-0.8660254037844384,-0.5000000000000004,-0.2673645,-0.68240356,False,False,False,True,False,75.0
30.222761,996.8682,3.5093317,-15.5147,121.333,0.49999999999999994,0.8660254037844387,-2.4655914,2.0315816,False,True,False,False,False,37.0
28.50048,968.23004,14.85635,-15.1333,165.1,0.8660254037844386,0.5000000000000001,-0.4537323,10.179787,False,False,True,False,False,60.0
30.124846,1010.10254,2.6887367,11.1924,126.113,1.2246467991473532e-16,-1.0,0.9669253,2.492794,False,False,False,True,False,15.0
28.146753,991.584,14.526016,16.8,-50.2,-1.0,-1.8369701987210297e-16,-5.8147426,12.749486,False,False,False,False,True,85.0
28.848639,998.5815,6.2938194,13.1,-78.0,-0.5000000000000004,0.8660254037844384,0.7532684,-5.078476,False,False,False,False,True,70.0
29.524107,1002.2833,7.775019,14.45,119.775,-0.5000000000000004,0.8660254037844384,-3.4498804,-6.4498925,False,False,False,True,False,50.0
29.957184,1010.4808,3.8170943,16.8574,-83.9802,-0.8660254037844384,-0.5000000000000004,-1.5297985,3.3332188,False,False,False,False,True,30.0
23.815495,1002.7861,5.358549,-23.9,89.075,0.8660254037844387,-0.4999999999999998,-1.4463452,-4.928975,False,True,False,False,False,25.0
29.952154,1000.9221,9.723199,13.9,-102.3,-0.8660254037844384,-0.5000000000000004,-4.7758555,7.744845,False,False,False,False,False,65.0
28.805777,1001.74316,6.3384748,-16.6787,114.186,0.8660254037844386,0.5000000000000001,0.83046454,5.7703514,False,True,False,False,False,60.0
29.267435,990.9661,7.215145,27.0096,-96.3976,-0.5000000000000001,-0.8660254037844386,1.0895934,-0.51885206,False,False,False,False,True,75.0
24.091667,1000.99567,5.333307,-20.1823,98.3951,0.49999999999999994,0.8660254037844387,-2.3363261,4.248803,False,True,False,False,False,25.0
29.508615,989.5279,8.413685,27.0661,125.244,-0.8660254037844384,-0.5000000000000004,8.322411,0.43082702,False,False,False,True,False,62.0
25.72232,1002.8837,12.989515,19.75,64.0,-0.5000000000000004,0.8660254037844384,-5.0904846,11.9505005,True,False,False,False,False,85.0
29.77098,1005.5005,1.7125676,4.94997,155.673,0.49999999999999994,0.8660254037844387,-1.5452976,0.6878722,False,False,False,True,False,15.0
26.663385,989.1845,11.400278,-23.2375,58.8989,-2.4492935982947064e-16,1.0,-6.343928,-9.27785,False,True,False,False,False,75.0
29.361227,1007.9571,3.2431877,-9.6,130.7,0.8660254037844387,-0.4999999999999998,0.53543335,-0.8740393,False,True,False,False,False,25.0
27.43192,998.2459,8.800318,-16.9312,154.632,0.49999999999999994,0.8660254037844387,-8.650144,-0.7187424,False,False,True,False,False,37.0
27.779484,1008.6363,2.0823748,-14.8425,169.32,-0.5000000000000004,0.8660254037844384,1.0273173,-0.3870356,False,False,True,False,False,15.0
28.5813,1000.4785,8.616411,20.4624,67.6186,-1.0,-1.8369701987210297e-16,-7.258018,-4.241372,True,False,False,False,False,35.0
29.706238,1006.9721,7.1387835,16.591,138.239,-0.8660254037844386,0.5000000000000001,-0.16533946,7.060057,False,False,False,True,False,40.0
23.612936,1011.49066,7.1391954,24.5148,-130.55,-1.0,-1.8369701987210297e-16,-6.6887684,-1.9081287,False,False,False,False,False,32.0
28.956383,998.0983,4.1467495,23.1,68.3,1.2246467991473532e-16,-1.0,-0.5247229,3.906903,True,False,False,False,False,20.0
23.119766,1008.37683,1.9711398,23.6075,-126.265,-1.0,-1.8369701987210297e-16,-0.19831474,0.6996394,False,False,False,False,False,25.0
29.9568,998.93176,9.596903,10.525,86.94,0.8660254037844387,-0.4999999999999998,9.017319,0.7322705,True,False,False,False,False,65.0
28.154205,1008.1244,5.181812,14.0,-50.0,-0.8660254037844384,-0.5000000000000004,-1.9936829,-4.7829285,False,False,False,False,True,40.0
28.867556,1008.3881,5.8528304,11.3773,-148.092,-1.0,-1.8369701987210297e-16,-5.6439652,-1.0554583,False,False,False,False,False,32.0
28.66832,1001.22235,6.7223945,-15.0175,50.9275,1.0,6.123233995736766e-17,1.8962154,-5.847359,False,True,False,False,False,60.0
29.310211,975.702,9.779631,27.6,-78.6,-1.0,-1.8369701987210297e-16,-5.230492,-1.6879584,False,False,False,False,True,95.0
29.689766,998.44226,14.882876,-11.0922,43.8911,0.8660254037844387,-0.4999999999999998,13.043582,6.0329123,False,True,False,False,False,97.0
31.206207,1003.60425,2.7003627,15.5,119.4,-0.5000000000000001,-0.8660254037844386,-0.61545104,2.6271973,False,False,False,True,False,15.0
27.602179,1004.10223,5.0181127,-19.968,148.797,0.49999999999999994,0.8660254037844387,0.32156298,-4.840092,False,False,True,False,False,25.0
28.903864,1002.82166,4.37023,24.0,-97.2,-1.0,-1.8369701987210297e-16,-4.011453,0.8091919,False,False,False,False,True,40.0
30.741442,995.08575,5.9836087,15.9,111.675,-1.0,-1.8369701987210297e-16,-5.172502,0.41599977,False,False,False,True,False,40.0
24.963982,1004.14325,3.342038,-19.2,96.15,0.8660254037844386,0.5000000000000001,-2.7481372,0.68253237,False,True,False,False,False,25.0
